Nonresidential Building Causes and Property Type Causes -  ROUNDED National Fire Estimates by Cause (2003-2018),,,,,,,,,,,,,,,,,,,
,* Sum of causes may not equal totals due to rounding.,,,,,,,,,,,,,,,,,,
,Notes: ,1) Estimates of <50 indicate insufficient data available to compute estimates;,,,,,,,,,,,,,,,,,
,,"2) Beginning in 2012, changes in cooking, electrical malfunction, appliances, and equipment malfunction estimates may be the result of a National Fire Incident Reporting System (NFIRS) edit change (""NFIRS Version 5.0 Design Documentation,"" January 2012, Relational Edit #181, Fire Module, Equipment Involved in Ignition, Page 108, https://www.nfirs.fema.gov/documentation/design/2012/NFIRS_5.0_Design_Documentation_1-2012.pdf). Starting with the 2015 NFIRS data collection, this edit change was reverted back to the way the data were collected prior to 2012.  ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,FIRES,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,OVERALL Nonresidential Building Causes,,,,,,,,,,,,,,,,,,
,Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total Nonresidential*,,
,2003,"11,300",600,"2,400","10,100","23,900","10,100","2,700","7,500","7,500","4,300","3,800","4,700","6,000","7,500",900,"103,200",,
,2004,"10,900",500,"2,100","9,400","25,600","9,800","2,700","7,300","7,300","4,600","3,500","4,100","5,700","7,300",900,"101,900",,
,2005,"11,800",500,"2,800","8,200","25,200","10,000","2,800","7,000","7,100","4,200","3,500","4,300","5,300","7,400","1,100","101,400",,
,2006,"10,800",600,"2,700","7,500","26,000","9,400","2,700","6,500","6,300","4,000","3,900","4,800","5,000","7,500","1,100","98,900",,
,2007,"11,400",500,"2,600","8,500","26,400","9,700","2,900","6,500","6,100","4,400","3,900","4,900","5,100","8,800","1,200","103,000",,
,2008,"10,100",500,"2,300","8,200","25,900","9,400","2,800","6,000","5,400","3,900","3,700","4,900","4,400","8,400","1,200","97,100",,
,2009,"9,500",400,"2,000","7,700","26,800","7,800","2,300","5,000","4,600","3,600","2,900","3,700","3,400","8,200","1,200","89,200",,
,2010,"8,500",300,"1,900","6,700","24,200","7,900","2,200","5,000","4,700","3,600","3,100","3,400","3,700","8,500","1,200","84,900",,
,2011,"8,900",400,"1,900","6,200","24,100","7,800","2,200","5,200","4,500","3,600","3,300","4,000","3,800","8,400","1,100","85,400",,
,2012,"9,700",400,"2,100","7,400","27,200","6,400","4,200","6,000","5,000","4,100","3,800","4,000","1,900","9,100","1,400","92,800",,
,2013,"9,100",300,"2,100","8,400","27,400","7,400","4,700","5,700","4,900","4,500","3,200","3,900","2,200","8,600","1,300","93,700",,
,2014,"8,800",400,"2,100","9,000","29,000","8,000","4,800","6,000","5,100","4,600","3,300","4,400","2,500","10,000","1,600","99,500",,
,2015,"9,800",400,"2,200","7,900","30,900","8,200","4,500","6,500","5,300","5,100","3,500","4,500","3,300","10,900","1,700","104,600",,
